asset_id,asset_type,business_criticality,environment
asset-0001,database,1,dev
asset-0002,workstation,3,prod
asset-0003,workstation,1,dev
asset-0004,server,2,staging
asset-0005,web_app,4,prod
asset-0006,workstation,4,prod
asset-0007,workstation,2,staging
asset-0008,server,3,prod
asset-0009,database,4,prod
asset-0010,workstation,2,prod
asset-0011,server,3,prod
asset-0012,workstation,3,prod
asset-0013,server,4,prod
asset-0014,server,2,staging
asset-0015,server,5,prod
asset-0016,web_app,3,dev
asset-0017,workstation,3,staging
asset-0018,server,2,dev
asset-0019,workstation,3,prod
asset-0020,database,5,prod
