incident_id,company_id,date,sector,company_size,employees,attack_type,severity,security_maturity_score,records_exposed,downtime_hours,financial_loss_eur
inc-000001,ORG-0001,2022-03-09,Santé,ETI,315,supply_chain,severe,52,4997,9.8,2204082
inc-000002,ORG-0002,2022-11-11,Public,PME,60,misconfiguration,minor,33,4,2.9,9530
inc-000003,ORG-0003,2023-08-21,Santé,PME,16,credential_theft,moderate,44,387,3.8,138910
inc-000004,ORG-0002,2024-05-02,Public,PME,60,misconfiguration,minor,33,5,6.0,15803
inc-000005,ORG-0004,2022-08-28,Public,PME,150,misconfiguration,minor,49,22,3.5,38584
inc-000006,ORG-0001,2025-10-11,Santé,ETI,315,credential_theft,severe,52,1804,1.3,1058951
inc-000007,ORG-0002,2025-03-18,Public,PME,60,data_breach,minor,33,49,3.4,11703
inc-000008,ORG-0005,2022-10-22,Finance,PME,70,data_breach,severe,58,9669,27.6,1516962
inc-000009,ORG-0006,2024-09-14,Santé,PME,114,credential_theft,moderate,44,90,27.1,75374
inc-000010,ORG-0007,2025-02-27,Énergie,ETI,2133,phishing,minor,47,37,2.1,48639
inc-000011,ORG-0008,2025-04-27,Énergie,GE,6414,insider_error,moderate,52,109,6.5,92751
inc-000012,ORG-0009,2024-12-10,Santé,PME,12,phishing,minor,49,5,4.0,4739
inc-000013,ORG-0010,2023-04-29,Public,PME,31,ransomware,minor,40,0,42.5,2199
inc-000014,ORG-0011,2025-10-11,Retail,ETI,538,ransomware,minor,46,18,43.5,40607
inc-000015,ORG-0012,2023-07-03,Retail,PME,41,insider_error,minor,46,48,6.9,25884
inc-000016,ORG-0006,2025-10-25,Santé,PME,114,ransomware,moderate,44,164,95.9,189509
inc-000017,ORG-0013,2025-10-28,Santé,PME,78,phishing,minor,49,3,2.4,7457
inc-000018,ORG-0014,2025-05-25,Finance,ETI,1477,misconfiguration,minor,70,6,2.5,14293
inc-000019,ORG-0015,2024-04-03,Santé,GE,40180,credential_theft,moderate,65,132,9.2,110699
inc-000020,ORG-0016,2025-03-18,Énergie,GE,6860,ransomware,severe,74,564,55.0,1699149
inc-000021,ORG-0017,2022-09-01,Tech/SaaS,PME,22,credential_theft,minor,43,70,,40858
inc-000022,ORG-0018,2025-11-06,Retail,ETI,461,credential_theft,minor,59,31,2.2,18189
inc-000023,ORG-0019,2024-04-14,Tech/SaaS,ETI,622,misconfiguration,minor,54,43,4.5,41866
inc-000024,ORG-0020,2023-05-31,Retail,PME,156,phishing,minor,40,10,2.8,10675
inc-000025,ORG-0021,2022-07-04,Santé,PME,203,insider_error,minor,42,25,1.8,37546
inc-000026,ORG-0022,2023-09-09,Tech/SaaS,PME,17,misconfiguration,minor,53,13,9.0,15066
inc-000027,ORG-0023,2022-09-29,Industrie,ETI,1175,ransomware,minor,60,24,56.9,22995
inc-000028,ORG-0024,2024-01-14,Public,PME,52,ransomware,minor,46,2,47.3,4241
inc-000029,ORG-0025,2024-06-26,Retail,PME,217,supply_chain,moderate,29,399,32.8,151032
inc-000030,ORG-0021,2025-11-19,Santé,PME,203,ddos,minor,42,0,16.9,11597
inc-000031,ORG-0026,2022-05-16,Santé,GE,41295,insider_error,minor,81,,6.0,35189
inc-000032,ORG-0027,2023-02-08,Finance,PME,19,ransomware,minor,55,15,80.5,24068
inc-000033,ORG-0028,2024-07-21,Finance,PME,123,ransomware,minor,46,10,30.6,32531
inc-000034,ORG-0029,2025-04-05,Retail,ETI,383,ransomware,minor,41,12,33.3,45171
inc-000035,ORG-0030,2022-04-04,Industrie,PME,53,phishing,minor,52,9,6.7,10241
inc-000036,ORG-0031,2025-02-28,Santé,ETI,2748,credential_theft,catastrophic,44,12834,2.3,3496646
inc-000037,ORG-0032,2023-07-11,Tech/SaaS,PME,109,phishing,minor,41,21,,31914
inc-000038,ORG-0033,2025-12-01,Tech/SaaS,PME,106,phishing,minor,47,6,2.9,12428
inc-000039,ORG-0034,2024-04-30,Santé,GE,11012,insider_error,moderate,68,233,5.5,188682
inc-000040,ORG-0035,2024-02-18,Industrie,ETI,1615,credential_theft,major,40,796,7.8,461020
inc-000041,ORG-0036,2022-12-04,Industrie,PME,12,phishing,minor,50,3,0.9,4771
inc-000042,ORG-0037,2024-11-02,Retail,ETI,4437,phishing,moderate,43,175,2.5,248090
inc-000043,ORG-0038,2024-06-29,Retail,PME,12,phishing,minor,33,9,1.2,23499
inc-000044,ORG-0039,2022-04-22,Retail,PME,77,ransomware,minor,48,7,65.9,11632
inc-000045,ORG-0040,2025-01-24,Retail,GE,7555,misconfiguration,severe,57,1224,5.3,1594848
inc-000046,ORG-0041,2025-03-07,Finance,PME,217,ransomware,minor,50,7,43.9,17183
inc-000047,ORG-0021,2022-05-29,Santé,PME,203,phishing,minor,42,28,4.2,39127
inc-000048,ORG-0042,2022-07-01,Retail,PME,35,insider_error,minor,33,55,1.9,21269
inc-000049,ORG-0043,2022-04-24,Industrie,PME,20,credential_theft,minor,39,14,2.6,3914
inc-000050,ORG-0044,2024-08-13,Tech/SaaS,ETI,740,phishing,moderate,63,105,3.7,72560
inc-000051,ORG-0045,2022-03-20,Industrie,ETI,4518,misconfiguration,moderate,58,238,5.5,159205
inc-000052,ORG-0046,2022-05-25,Retail,PME,86,insider_error,severe,33,2259,5.1,1821295
inc-000053,ORG-0015,2024-12-11,Santé,GE,40180,ddos,minor,65,0,8.5,33664
inc-000054,ORG-0047,2025-02-27,Tech/SaaS,PME,81,data_breach,minor,31,31,4.6,8857
inc-000055,ORG-0022,2022-09-24,Tech/SaaS,PME,17,ransomware,severe,53,1212,45.9,1855508
inc-000056,ORG-0048,2024-12-26,Santé,ETI,2510,misconfiguration,minor,62,46,8.9,31317
inc-000057,ORG-0049,2023-08-15,Finance,PME,97,phishing,minor,31,9,3.0,17016
inc-000058,ORG-0014,2023-03-16,Finance,ETI,1477,ransomware,catastrophic,70,1987,26.0,3557721
inc-000059,ORG-0050,2025-06-21,Industrie,PME,164,misconfiguration,minor,29,26,2.6,25187
inc-000060,ORG-0051,2022-04-20,Finance,ETI,754,data_breach,minor,60,73,9.5,15760
inc-000061,ORG-0052,2025-09-24,Retail,ETI,1871,credential_theft,severe,38,4596,5.7,1595115
inc-000062,ORG-0053,2023-06-10,Santé,PME,15,misconfiguration,minor,43,4,5.4,5924
inc-000063,ORG-0008,2022-07-09,Énergie,GE,6414,insider_error,moderate,52,282,11.5,75077
inc-000064,ORG-0049,2025-10-25,Finance,PME,97,credential_theft,moderate,31,74,34.2,51441
inc-000065,ORG-0054,2024-01-24,Industrie,PME,101,insider_error,minor,31,5,5.2,4878
inc-000066,ORG-0036,2025-10-22,Industrie,PME,12,credential_theft,minor,50,37,1.0,24749
