event_id,asset_id,mitre_technique,severity,detected_at,source
evt-0000001,asset-0001,T1490,High,2026-05-31T09:40:36,ids
evt-0000002,asset-0001,T1078,Low,2026-03-24T19:22:56,endpoint
evt-0000003,asset-0001,T1210,High,2026-04-21T08:51:46,endpoint
evt-0000004,asset-0001,T1592,Low,2026-03-15T20:08:26,auth
evt-0000005,asset-0001,T1005,Medium,2026-01-09T21:35:41,auth
evt-0000006,asset-0001,T1595,Low,2026-04-27T18:38:09,ids
evt-0000007,asset-0001,T1005,Low,2026-04-10T17:48:55,ids
evt-0000008,asset-0001,T1041,Medium,2026-05-28T10:28:53,auth
evt-0000009,asset-0001,T1041,Medium,2026-02-06T14:56:33,firewall
evt-0000010,asset-0001,T1566,Medium,2026-02-12T02:23:44,firewall
evt-0000011,asset-0001,T1005,Low,2026-04-22T01:45:54,proxy
evt-0000012,asset-0001,T1046,Medium,2026-03-31T00:42:16,proxy
evt-0000013,asset-0001,T1087,Low,2026-01-02T09:06:43,endpoint
evt-0000014,asset-0001,T1566,Medium,2026-05-13T19:08:19,firewall
evt-0000015,asset-0001,T1489,Critical,2026-04-26T17:55:11,ids
evt-0000016,asset-0001,T1087,Low,2026-05-20T22:47:09,auth
evt-0000017,asset-0001,T1210,Low,2026-01-14T06:46:58,auth
evt-0000018,asset-0001,T1204,High,2025-11-17T10:52:52,ids
evt-0000019,asset-0001,T1078,Low,2026-02-08T10:10:53,proxy
evt-0000020,asset-0001,T1567,Medium,2026-05-04T13:27:23,ids
evt-0000021,asset-0001,T1078,Low,2026-05-27T00:04:43,proxy
evt-0000022,asset-0001,T1020,High,2026-04-09T01:46:36,ids
evt-0000023,asset-0001,T1041,Medium,2026-04-14T14:12:27,auth
evt-0000024,asset-0001,T1595,Low,2025-12-01T23:42:59,firewall
evt-0000025,asset-0001,T1078,Low,2026-01-03T05:12:08,endpoint
evt-0000026,asset-0001,T1592,High,2026-03-31T15:52:26,auth
evt-0000027,asset-0001,T1041,High,2026-04-22T22:01:25,endpoint
evt-0000028,asset-0001,T1592,Low,2026-03-09T19:40:31,endpoint
evt-0000029,asset-0001,T1499,Critical,2026-05-13T01:35:53,ids
evt-0000030,asset-0001,T1566,High,2026-01-21T17:00:23,proxy
evt-0000031,asset-0001,T1110,High,2025-12-02T14:42:51,endpoint
evt-0000032,asset-0001,T1567,High,2025-12-11T01:11:49,endpoint
evt-0000033,asset-0001,T1489,Critical,2026-02-01T02:10:27,endpoint
evt-0000034,asset-0001,T1592,Medium,2026-03-15T08:12:57,auth
evt-0000035,asset-0001,T1041,Critical,2026-03-11T07:19:18,auth
evt-0000036,asset-0001,T1087,Low,2025-11-21T23:29:17,ids
evt-0000037,asset-0001,T1499,Medium,2026-01-26T10:14:03,firewall
evt-0000038,asset-0001,T1595,Low,2025-12-03T12:51:01,auth
evt-0000039,asset-0001,T1087,Low,2026-04-15T11:29:25,ids
evt-0000040,asset-0001,T1204,Medium,2026-04-12T13:42:32,auth
evt-0000041,asset-0001,T1490,Critical,2026-03-30T12:25:42,proxy
evt-0000042,asset-0001,T1489,Medium,2026-02-06T02:04:45,ids
evt-0000043,asset-0001,T1078,Low,2026-02-17T12:22:13,ids
evt-0000044,asset-0001,T1087,Low,2026-05-28T22:58:14,proxy
evt-0000045,asset-0001,T1552,Medium,2026-01-17T12:47:31,ids
evt-0000046,asset-0001,T1204,Low,2025-12-04T02:32:43,auth
evt-0000047,asset-0001,T1020,High,2026-01-12T06:47:32,auth
evt-0000048,asset-0001,T1110,High,2026-01-23T22:30:27,ids
evt-0000049,asset-0001,T1087,Low,2026-05-05T09:25:16,ids
evt-0000050,asset-0001,T1592,Medium,2026-05-20T22:15:53,endpoint
evt-0000051,asset-0001,T1567,High,2026-03-03T04:48:31,proxy
evt-0000052,asset-0001,T1003,Medium,2025-12-15T13:26:33,proxy
evt-0000053,asset-0001,T1592,Low,2026-02-06T00:19:14,ids
